Dataset Name,Univariate/Multivariate,Stationary/Non-Stationary,Linear/Non-Linear,Periodic/Aperiodic,Deterministic/Stochastic,Discrete/Continuous
Ham,Univariate,Stationary,Non-Linear,Aperiodic,Stochastic,Discrete
HandOutlines,Univariate,Stationary,Non-Linear,Aperiodic,Stochastic,Discrete
Haptics,Univariate,Non-Stationary,Non-Linear,Aperiodic,Stochastic,Discrete
Herring,,,,,,
InlineSkate,,,,,,
InsectWingbeatSound,,,,,,
ItalyPowerDemand,,,,,,
LargeKitchenAppliances,,,,,,
Lightning2,,,,,,
Lightning7,,,,,,
Mallat,,,,,,
Meat,,,,,,
MedicalImages,,,,,,
MiddlePhalanxOutlineAgeGroup,,,,,,
MiddlePhalanxOutlineCorrect,,,,,,
MiddlePhalanxTW,,,,,,
MoteStrain,,,,,,
NonInvasiveFetalECGThorax1,,,,,,
NonInvasiveFetalECGThorax2,,,,,,
OliveOil,,,,,,
OSULeaf,,,,,,
PhalangesOutlinesCorrect,,,,,,
Phoneme,,,,,,
Plane,,,,,,
ProximalPhalanxOutlineAgeGroup,,,,,,
ProximalPhalanxOutlineCorrect,,,,,,
ProximalPhalanxTW,,,,,,
RefrigerationDevices,,,,,,
ScreenType,,,,,,
ShapeletSim,,,,,,
ShapesAll,,,,,,
SmallKitchenAppliances,,,,,,
SonyAIBORobotSurface1,,,,,,
SonyAIBORobotSurface2,,,,,,
StarLightCurves,,,,,,
Strawberry,,,,,,
SwedishLeaf,,,,,,
Symbols,,,,,,
SyntheticControl,,,,,,
ToeSegmentation1,,,,,,
ToeSegmentation2,,,,,,
Trace,,,,,,
TwoLeadECG,,,,,,
TwoPatterns,,,,,,
UWaveGestureLibraryAll,,,,,,
UWaveGestureLibraryX,,,,,,
UWaveGestureLibraryY,,,,,,
UWaveGestureLibraryZ,,,,,,
Wafer,,,,,,
Wine,,,,,,
WordSynonyms,,,,,,
Worms,,,,,,
WormsTwoClass,,,,,,
Yoga,,,,,,
ACSF1,,,,,,
AllGestureWiimoteX,,,,,,
AllGestureWiimoteY,,,,,,
AllGestureWiimoteZ,,,,,,
BME,,,,,,
Chinatown,,,,,,
Crop,,,,,,
DodgerLoopDay,,,,,,
DodgerLoopGame,,,,,,
DodgerLoopWeekend,,,,,,
EOGHorizontalSignal,,,,,,
EOGVerticalSignal,,,,,,
EthanolLevel,,,,,,
FreezerRegularTrain,,,,,,
FreezerSmallTrain,,,,,,
Fungi,,,,,,
GestureMidAirD1,,,,,,
GestureMidAirD2,,,,,,
GestureMidAirD3,,,,,,
GesturePebbleZ1,,,,,,
GesturePebbleZ2,,,,,,
GunPointAgeSpan,,,,,,
GunPointMaleVersusFemale,,,,,,
GunPointOldVersusYoung,,,,,,
HouseTwenty,,,,,,
InsectEPGRegularTrain,,,,,,
InsectEPGSmallTrain,,,,,,
MelbournePedestrian,,,,,,
MixedShapesRegularTrain,,,,,,
MixedShapesSmallTrain,,,,,,
PickupGestureWiimoteZ,,,,,,
PigAirwayPressure,,,,,,
PigArtPressure,,,,,,
PigCVP,,,,,,
PLAID,,,,,,
PowerCons,,,,,,
Rock,,,,,,
SemgHandGenderCh2,,,,,,
SemgHandMovementCh2,,,,,,
SemgHandSubjectCh2,,,,,,
ShakeGestureWiimoteZ,,,,,,
SmoothSubspace,,,,,,
UMD,,,,,,
